change_order_id,project_id,requested_date,change_order_type,reason,status,requested_revenue_change,estimated_cost_change,approved_revenue_change,approval_date,billed_amount,billed_date
CO0001,P001,2023-04-28,additive,Design revision,approved,24599.72,18030.57,23877.11,,23877.11,2023-06-02
CO0002,P003,2024-03-14,additive,Code requirement,approved,66486.53,55336.96,66067.84,2024-04-24,66067.84,2024-05-09
CO0003,P004,2024-05-31,additive,Unforeseen site condition,approved,12404.55,7307.98,12018.41,2024-06-30,12018.41,2024-07-26
CO0004,P004,2024-09-23,additive,Schedule acceleration,approved,59977.07,49415.11,57918.86,2024-10-29,0,
CO0005,P005,2025-02-20,deductive,Design revision,pending,-88388.88,-74803.78,,,,
CO0006,P005,2024-12-11,additive,Unforeseen site condition,approved,160974.5,96551.32,155885.02,2024-12-31,155885.02,2025-02-01
CO0007,P005,2025-06-06,additive,Unforeseen site condition,approved,76830.43,59052.1,71637.66,2025-06-18,71637.66,2025-07-21
CO0008,P005,2025-05-12,additive,Design revision,approved,30133.38,22930.81,27865.48,2025-06-13,27865.48,2025-06-15
CO0009,P007,2024-03-22,additive,Owner scope change,approved,133454.77,111924.59,128050.35,2024-04-09,128050.35,2024-04-29
CO0010,P007,2024-04-27,additive,Owner scope change,approved,50990.26,39077.2,50944.81,2024-05-11,0,
CO0011,P007,2023-12-05,additive,Design revision,withdrawn,135391.42,91868.38,,,,
CO0012,P010,2025-05-26,additive,Code requirement,approved,29957.24,23625.65,27992.87,2025-06-11,27992.87,2025-07-07
CO0013,P010,2025-06-17,additive,Code requirement,approved,32134.08,24764.73,29775.68,2025-07-21,14887.84,2025-07-25
CO0014,P012,2024-06-05,additive,Design revision,approved,32660.21,23840.33,31148.38,2024-07-09,0,
CO0015,P012,2024-02-01,additive,Design revision,approved,73875.37,61639.97,72519.33,2024-02-09,72519.33,2024-03-10
CO0016,P012,2023-12-09,additive,Owner scope change,approved,42081.11,29784.15,39432.62,2024-01-02,39432.62,2024-01-14
CO0017,P012,2024-04-07,additive,Unforeseen site condition,withdrawn,30314.7,18125.27,,,,
CO0018,P014,2025-04-11,deductive,Owner scope change,rejected,-69785.49,-55163.58,,,,
CO0019,P015,2023-07-23,additive,Owner scope change,approved,61552.21,52340.34,58267.33,2023-08-23,58267.33,2023-09-23
CO0020,P016,2024-11-15,additive,Code requirement,approved,22144.79,15876.28,21111.99,2024-11-29,21111.99,2024-12-20
CO0021,P017,2024-10-10,additive,Unforeseen site condition,approved,48743.25,30282.56,46656.41,2024-11-08,46656.41,2024-11-16
CO0022,P017,2024-09-01,additive,Material substitution,Approved,53851.33,32710.56,53507.72,2024-10-03,0,
CO0023,P017,2024-05-23,additive,Material substitution,withdrawn,23330.07,16134.82,,,,
CO0024,P017,2024-05-22,additive,Schedule acceleration,pending,11313.7,7562.48,,,,
CO0025,P019,2024-07-18,deductive,Design revision,approved,-14919.54,-11011.72,-14417.16,2024-08-19,-14417.16,2024-09-15
CO0026,P019,2024-05-17,deductive,Code requirement,approved,-10871.44,-8812.65,-10355.18,2024-05-23,-10355.18,2024-06-26
CO0027,P019,2024-05-22,additive,Code requirement,rejected,8384.43,6112.01,,,,
CO0028,P019,2024-08-01,additive,Material substitution,approved,18699.43,15289.86,17909.36,2024-08-04,17909.36,2024-08-22
CO0029,P019,2024-06-12,additive,Owner scope change,approved,28236.5,22987.11,26585.74,2024-06-21,13292.87,2024-06-27
CO0030,P019,2024-08-25,additive,Code requirement,approved,12456.71,10688.05,11886.56,2024-09-07,0,
CO0031,P020,2023-11-01,additive,Unforeseen site condition,approved,51964.15,34078.36,47911.78,2023-11-27,0,
CO0032,P020,2023-10-27,additive,Material substitution,approved,20794.2,13252.38,19408.37,2023-12-02,9704.18,2023-12-08
CO0033,P020,2023-09-14,additive,Design revision,approved,44253.58,35333.19,43975.98,2023-09-26,43975.98,2023-10-15
CO0034,P021,2023-09-19,additive,Design revision,approved,33315.72,21878.53,31427.33,2023-10-31,0,
CO0035,P021,2023-09-08,additive,Owner scope change,approved,116163.35,83415.75,111795.02,2023-09-22,111795.02,2023-09-30
CO0036,P021,2023-08-15,additive,Unforeseen site condition,approved,127368.47,99606.66,124153.22,2023-09-22,124153.22,2023-10-05
CO0037,P021,2023-06-20,additive,Code requirement,withdrawn,130598.57,105794.26,,,,
CO0038,P021,2023-07-10,additive,Design revision,approved,83078.45,58478.92,78069.65,2023-08-15,39034.82,2023-08-19
CO0039,P022,2025-05-01,additive,Material substitution,rejected,201500.62,124992.57,,,,
CO0040,P022,2025-01-23,additive,Design revision,approved,108707.07,72672.68,102049.05,2025-02-14,51024.53,2025-02-16
CO0041,P023,2023-07-10,additive,Unforeseen site condition,rejected,141365.91,93058.88,,,,
CO0042,P024,2025-04-19,additive,Owner scope change,approved,86266.87,64302.46,82163.28,2025-05-05,82163.28,2025-05-12
