transaction_id,project_id,transaction_date,cost_category,vendor_name,description,amount,payment_status
TX000001,P001,2023-04-14,Materials,Rocky Mountain Tile,Materials progress billing,30490.37,approved
TX000002,P001,2023-08-12,Materials,Mountain Supply Co.,Materials purchase,33926.78,paid
TX000003,P001,2023-08-11,Materials,Builders FirstSource,Materials invoice,9825.45,paid
TX000004,P001,2023-10-04,Materials,Desert Steel & Glass,Materials site expense,25330.41,paid
TX000005,P001,2023-10-15,Materials,Desert Steel & Glass,Materials progress billing,22163.71,paid
TX000006,P001,2023-03-17,Materials,Desert Steel & Glass,Materials site expense,14896.62,paid
TX000007,P001,2023-03-31,Materials,Builders FirstSource,Materials invoice,34012.18,paid
TX000008,P001,2023-06-02,Materials,Builders FirstSource,Materials site expense,17116.29,paid
TX000009,P001,2023-03-29,Materials,Mountain Supply Co.,Materials purchase,19795.79,paid
TX000010,P001,2023-10-25,Materials,Builders FirstSource,Materials progress billing,20692.89,paid
TX000011,P001,2023-10-10,Materials,Wasatch Lumber,Materials progress billing,19986.39,paid
TX000012,P001,2023-05-26,Materials,Desert Steel & Glass,Materials progress billing,22377.47,paid
TX000013,P001,2023-08-29,Materials,Desert Steel & Glass,Materials site expense,8181.81,paid
TX000014,P001,2023-04-05,Materials,Wasatch Lumber,Materials invoice,14947.98,paid
TX000015,P001,2023-07-03,Materials,Builders FirstSource,Materials purchase,26965.77,approved
TX000016,P001,2023-05-19,Materials,Wasatch Lumber,Materials progress billing,13385.62,pending
TX000017,P001,2023-08-18,Materials,Mountain Supply Co.,Materials invoice,18783.32,approved
TX000018,P001,2023-08-26,Materials,Builders FirstSource,Materials progress billing,23971.9,approved
TX000019,P001,2023-04-01,Materials,Rocky Mountain Tile,Materials invoice,7886.21,paid
TX000020,P001,2023-06-28,Materials,Builders FirstSource,Materials progress billing,4099.57,paid
TX000021,P001,2023-05-19,Subcontractors,FlowRight Plumbing,Subcontractors invoice,17613.95,paid
TX000022,P001,2023-03-22,Subcontractors,Precision Electric,Subcontractors progress billing,8658.75,paid
TX000023,P001,2023-07-08,Subcontractors,FlowRight Plumbing,Subcontractors site expense,10064.77,paid
TX000024,P001,2023-07-30,Subcontractors,Northstar Concrete,Subcontractors progress billing,7141.89,paid
TX000025,P001,2023-06-24,Subcontractors,Summit Mechanical,Subcontractors purchase,11628.96,approved
TX000026,P001,2023-03-20,Subcontractors,Summit Mechanical,Subcontractors purchase,11414.52,paid
TX000027,P001,2023-10-15,Subcontractors,Precision Electric,Subcontractors progress billing,11469.83,approved
TX000028,P001,2023-03-22,Subcontractors,FlowRight Plumbing,Subcontractors purchase,4013.1,approved
TX000029,P001,2023-08-18,Subcontractors,Northstar Concrete,Subcontractors progress billing,7535.55,approved
TX000030,P001,2023-04-15,Subcontractors,Northstar Concrete,Subcontractors progress billing,20105.7,approved
TX000031,P001,2023-07-15,Subcontractors,Atlas Drywall,Subcontractors progress billing,18422.59,paid
TX000032,P001,2023-06-10,Subcontractors,Precision Electric,Subcontractors invoice,6477.6,paid
TX000033,P001,2023-05-02,Subcontractors,FlowRight Plumbing,Subcontractors site expense,13110.49,paid
TX000034,P001,2023-07-15,Subcontractors,Atlas Drywall,Subcontractors invoice,18812.19,paid
TX000035,P001,2023-09-14,Subcontractors,Precision Electric,Subcontractors invoice,6375.49,paid
TX000036,P001,2023-04-01,Subcontractors,FlowRight Plumbing,Subcontractors purchase,6831.85,paid
