time_entry_id,project_id,work_date,employee_id,trade,regular_hours,overtime_hours,hourly_rate,labor_cost
TE000001,P001,2023-06-03,E101,Carpenter,43.01,6.18,39.6,2070.29
TE000002,P001,2023-04-20,E128,Carpenter,41.52,0,48.41,2009.98
TE000003,P001,2023-09-11,E101,Carpenter,37.32,0,43,1604.76
TE000004,P001,2023-10-15,E202,Laborer,44.74,0,28.01,1253.17
TE000005,P001,2023-04-05,E115,Carpenter,31.55,0,42.91,1353.81
TE000006,P001,2023-03-30,E312,Superintendent,36.29,0,60.07,2179.94
TE000007,P001,2023-08-20,E134,Carpenter,33.29,0,40.73,1355.9
TE000008,P001,2023-07-31,E128,Carpenter,45.87,0,47.16,2163.23
TE000009,P001,2023-05-09,E207,Laborer,32.22,0,34.65,1116.42
TE000010,P001,2023-03-31,E405,Finisher,30.42,0,44.17,1343.65
TE000011,P001,2023-06-11,E417,Finisher,41.52,0,45,1868.4
TE000012,P001,2023-04-09,E417,Finisher,44.11,0,42.13,1858.35
TE000013,P001,2023-05-19,E401,Finisher,34.45,0,45.6,1570.92
TE000014,P001,2023-03-25,E231,Laborer,30.99,0,37.75,1169.87
TE000015,P001,2023-10-03,E104,Carpenter,43.18,0,41.19,1778.58
TE000016,P001,2023-07-13,E128,Carpenter,45.34,0,49.3,2235.26
TE000017,P001,2023-11-02,E207,Laborer,37.05,0,33.47,1240.06
TE000018,P001,2023-03-18,E207,Laborer,42.45,0,36.73,1559.19
TE000019,P001,2023-11-12,E401,Finisher,34.58,0,46.88,1621.11
TE000020,P001,2023-05-17,E423,Finisher,35.05,0,45.38,1590.57
TE000021,P001,2023-04-03,E219,Laborer,38.34,0,28.27,1083.87
TE000022,P001,2023-05-19,E128,Carpenter,45.74,0,46.3,2117.76
TE000023,P001,2023-06-12,E225,Laborer,34.2,0,27.97,956.57
TE000024,P001,2023-06-12,E309,Superintendent,37.11,2.09,65.54,2637.66
TE000025,P001,2023-05-12,E231,Laborer,35.05,0,36.85,1291.59
TE000026,P001,2023-07-01,E107,Carpenter,44.19,0,43.67,1929.78
TE000027,P001,2023-04-14,E202,Laborer,43.71,0,28.16,1230.87
TE000028,P001,2023-07-11,E405,Finisher,44.15,0,41.91,1850.33
TE000029,P001,2023-08-24,E405,Finisher,34.22,0,41.84,1431.76
TE000030,P001,2023-10-10,E301,Superintendent,31.66,0,57.77,1829
TE000031,P001,2023-11-08,E134,Carpenter,36.66,0,47.08,1725.95
TE000032,P001,2023-10-02,E101,Carpenter,33.52,0,41.85,1402.81
TE000033,P001,2023-11-13,E225,Laborer,41.84,0,34.01,1422.98
TE000034,P001,2023-09-20,E202,Laborer,41.95,6.19,27.95,1432.02
TE000035,P001,2023-10-02,E128,Carpenter,43.77,3.38,48.45,2366.3
TE000036,P001,2023-08-08,E405,Finisher,33.71,0,37.76,1272.89
