budget_line_id,project_id,cost_category,original_budget_amount,approved_budget_change,revised_budget_amount
BUD-P001-01,P001,Labor,352439,5228.87,357667.87
BUD-P001-02,P001,Materials,363808,5769.78,369577.78
BUD-P001-03,P001,Subcontractors,227380,4868.25,232248.25
BUD-P001-04,P001,Equipment,45476,540.92,46016.92
BUD-P001-05,P001,Permits & Fees,34107,360.61,34467.61
BUD-P001-06,P001,General Conditions,79583,901.53,80484.53
BUD-P001-07,P001,Other,34107,360.61,34467.61
BUD-P002-01,P002,Labor,179172,0,179172
BUD-P002-02,P002,Materials,165900,0,165900
BUD-P002-03,P002,Subcontractors,185808,0,185808
BUD-P002-04,P002,Equipment,26544,0,26544
BUD-P002-05,P002,Permits & Fees,26544,0,26544
BUD-P002-06,P002,General Conditions,59724,0,59724
BUD-P002-07,P002,Other,19908,0,19908
BUD-P003-01,P003,Labor,319814,16047.72,335861.72
BUD-P003-02,P003,Materials,407036,17707.83,424743.83
BUD-P003-03,P003,Subcontractors,450647,14940.98,465587.98
BUD-P003-04,P003,Equipment,58148,1660.11,59808.11
BUD-P003-05,P003,Permits & Fees,87222,1106.74,88328.74
BUD-P003-06,P003,General Conditions,101759,2766.85,104525.85
BUD-P003-07,P003,Other,29074,1106.73,30180.73
BUD-P004-01,P004,Labor,235062,16449.7,251511.7
BUD-P004-02,P004,Materials,217650,18151.39,235801.39
BUD-P004-03,P004,Subcontractors,243768,15315.23,259083.23
BUD-P004-04,P004,Equipment,34824,1701.69,36525.69
BUD-P004-05,P004,Permits & Fees,34824,1134.46,35958.46
BUD-P004-06,P004,General Conditions,78354,2836.15,81190.15
BUD-P004-07,P004,Other,26118,1134.47,27252.47
BUD-P005-01,P005,Labor,505164,51774.93,556938.93
BUD-P005-02,P005,Materials,642936,57130.95,700066.95
BUD-P005-03,P005,Subcontractors,711822,48204.24,760026.24
BUD-P005-04,P005,Equipment,91848,5356.03,97204.03
BUD-P005-05,P005,Permits & Fees,137772,3570.68,141342.68
BUD-P005-06,P005,General Conditions,160734,8926.71,169660.71
BUD-P005-07,P005,Other,45924,3570.69,49494.69
BUD-P006-01,P006,Labor,321425,0,321425
BUD-P006-02,P006,Materials,308568,0,308568
BUD-P006-03,P006,Subcontractors,398567,0,398567
BUD-P006-04,P006,Equipment,64285,0,64285
BUD-P006-05,P006,Permits & Fees,51428,0,51428
BUD-P006-06,P006,General Conditions,102856,0,102856
BUD-P006-07,P006,Other,38571,0,38571
BUD-P007-01,P007,Labor,443190,43790.52,486980.52
BUD-P007-02,P007,Materials,564060,48320.57,612380.57
BUD-P007-03,P007,Subcontractors,624495,40770.48,665265.48
BUD-P007-04,P007,Equipment,80580,4530.05,85110.05
BUD-P007-05,P007,Permits & Fees,120870,3020.04,123890.04
BUD-P007-06,P007,General Conditions,141015,7550.09,148565.09
BUD-P007-07,P007,Other,40290,3020.04,43310.04
BUD-P008-01,P008,labor,510180,0,510180
BUD-P008-02,P008,Materials,649320,0,649320
BUD-P008-03,P008,Subcontractors,718890,0,718890
BUD-P008-04,P008,Equipment,92760,0,92760
BUD-P008-05,P008,Permits & Fees,139140,0,139140
BUD-P008-06,P008,General Conditions,162330,0,162330
BUD-P008-07,P008,Other,46380,0,46380
BUD-P009-01,P009,Labor,149472,0,149472
BUD-P009-02,P009,Materials,138400,0,138400
BUD-P009-03,P009,Subcontractors,155008,0,155008
BUD-P009-04,P009,Equipment,22144,0,22144
BUD-P009-05,P009,Permits & Fees,22144,0,22144
BUD-P009-06,P009,General Conditions,49824,0,49824
BUD-P009-07,P009,Other,16608,0,16608
BUD-P010-01,P010,Labor,134850,14033.21,148883.21
BUD-P010-02,P010,Materials,129456,15484.92,144940.92
BUD-P010-03,P010,Subcontractors,167214,13065.4,180279.4
BUD-P010-04,P010,Equipment,26970,1451.71,28421.71
BUD-P010-05,P010,Permits & Fees,21576,967.81,22543.81
BUD-P010-06,P010,General Conditions,43152,2419.52,45571.52
