project_id,project_name,cost_category,revised_budget,original_budget_missing_flag,orphan_project_flag,pending_exposure,incurred_cost,budget_remaining,no_matching_transactions_flag
P007,Wasatch Renovation 07,Other,43310.04,false,false,3365.48,44979.64,-1669.60,false
P015,Juniper Residences 15,Permits & Fees,41794.81,false,false,0.00,45901.82,-4107.01,false
P026,Granite Commons 26,Subcontractors,820490.49,false,false,55238.98,747150.17,73340.32,false
P028,Copper Office 28,Equipment,9318.57,false,false,515.30,9131.95,186.62,false
P028,Copper Office 28,General Conditions,20748.28,false,false,2247.20,18304.56,2443.72,false
P029,Copper Center 29,Subcontractors,264269.10,false,false,38794.69,232338.22,31930.88,false
P031,Summit Lodge 31,Subcontractors,164610.00,false,false,23517.41,157977.99,6632.01,false
P033,Bonneville Retail 33,Subcontractors,238140.00,false,false,0.00,232077.93,6062.07,false
P035,Aspen Office 35,Permits & Fees,41676.00,false,false,746.47,41166.17,509.83,false
P041,Canyon Office 41,Subcontractors,462561.19,false,false,41864.01,437965.70,24595.49,false
P042,Juniper Residences 42,Materials,503890.31,false,false,28596.83,552811.92,-48921.61,false
P043,Granite Medical 43,Equipment,46094.36,false,false,0.00,46541.32,-446.96,false
P043,Granite Medical 43,General Conditions,73786.27,false,false,0.00,79383.99,-5597.72,false
P049,Wasatch Commons 49,Subcontractors,323548.42,false,false,31859.71,325202.10,-1653.68,false
P051,Aspen Retail 51,Equipment,17128.00,false,false,0.00,17060.41,67.59,false
P051,Aspen Retail 51,General Conditions,38538.00,false,false,0.00,40102.79,-1564.79,false
P055,Canyon Lodge 55,Materials,305832.00,false,false,0.00,343817.66,-37985.66,false
P056,Wasatch Office 56,General Conditions,31842.56,false,false,6031.41,23806.79,8035.77,false
P057,Juniper Commons 57,Other,23754.00,false,false,1212.19,22085.57,1668.43,false
P062,Granite Residences 62,Permits & Fees,138478.81,false,false,8545.13,154137.57,-15658.76,false
P069,Bonneville Retail 69,Equipment,34658.32,false,false,820.52,35943.21,-1284.89,false
P072,Aspen Office 72,Other,20855.95,false,false,2301.03,18142.15,2713.80,false
P092,Copper Retail 92,Other,24326.56,false,false,1831.67,19099.17,5227.39,false
P094,Copper Commons 94,Materials,533977.98,false,false,0.00,277083.35,256894.63,false
P020,Wasatch Commons 20,Permits & Fees,21900.28,false,false,461.80,21513.04,387.24,false
P021,Copper Center 21,Permits & Fees,59570.60,false,false,10074.37,52652.49,6918.11,false
P056,Wasatch Office 56,Equipment,14243.34,false,false,878.48,12785.66,1457.68,false
P060,Canyon Retail 60,General Conditions,96862.42,false,false,2610.80,93392.09,3470.33,false
P065,Aspen Lodge 65,Materials,162864.00,false,false,7911.78,162401.98,462.02,false
P069,Bonneville Retail 69,General Conditions,55392.54,false,false,3470.37,55820.47,-427.93,false
P093,Granite Office 93,Materials,712791.00,false,false,48861.70,517322.37,195468.63,false
P073,Canyon Commons 73,Other,56589.00,false,false,367.97,64404.93,-7815.93,false
P060,Canyon Retail 60,Equipment,68913.45,false,false,5038.63,63984.82,4928.63,false
P067,Copper Office 67,Other,17629.25,false,false,1002.59,15807.95,1821.30,false
P044,Copper Medical 44,Subcontractors,128912.00,false,false,8296.68,128464.46,447.54,false
P016,Wasatch Lodge 16,Subcontractors,141399.60,false,false,14614.96,139662.72,1736.88,false
P004,Juniper Medical 04,Equipment,36525.69,false,false,850.30,35997.90,527.79,false
P004,Juniper Medical 04,General Conditions,81190.15,false,false,4882.14,74625.37,6564.78,false
P013,Aspen Renovation 13,Equipment,88696.00,false,false,4220.32,83152.82,5543.18,false
P013,Aspen Renovation 13,General Conditions,155218.00,false,false,13243.15,160742.62,-5524.62,false
P021,Copper Center 21,Subcontractors,433132.56,false,false,104465.38,389688.63,43443.93,false
P024,Aspen Retail 24,Equipment,47053.07,false,false,14002.00,32820.39,14232.68,false
P024,Aspen Retail 24,General Conditions,104744.12,false,false,5203.96,104693.45,50.67,false
P026,Granite Commons 26,Permits & Fees,89576.07,false,false,6900.80,79592.18,9983.89,false
P029,Copper Center 29,Permits & Fees,52423.64,false,false,0.00,58222.64,-5799.00,false
P035,Aspen Office 35,Subcontractors,322989.00,false,false,19831.34,323908.29,-919.29,false
P041,Canyon Office 41,Permits & Fees,87952.68,false,false,0.00,91326.07,-3373.39,false
P042,Juniper Residences 42,Other,61701.64,false,false,5454.01,58155.55,3546.09,false
P045,Bonneville Office 45,Equipment,47040.00,false,false,0.00,42217.08,4822.92,false
P045,Bonneville Office 45,General Conditions,105840.00,false,false,16035.86,80572.56,25267.44,false
P055,Canyon Lodge 55,Other,38229.00,false,false,2454.44,40646.03,-2417.03,false
P057,Juniper Commons 57,Materials,197950.00,false,false,9205.06,202929.38,-4979.38,false
P062,Granite Residences 62,Subcontractors,760763.97,false,false,70082.97,768041.15,-7277.18,false
P065,Aspen Lodge 65,Other,20358.00,false,false,791.23,20442.96,-84.96,false
P072,Aspen Office 72,Materials,297627.22,false,false,58604.54,310028.95,-12401.73,false
P073,Canyon Commons 73,Materials,547027.00,false,false,130621.81,457181.57,89845.43,false
